   522 -0.033200 0.139700 0.017400 -0.956110 -0.283526 -0.073942 -0.007085 -0.229959 0.973175 -0.292924 0.930985 0.217857 -0.010106
   523 -0.033200 0.139700 0.017400 0.007085 0.229959 -0.973175 -0.956110 -0.283526 -0.073942 -0.292924 0.930985 0.217857 -0.003202
   531 -0.033700 0.127400 0.048500 -0.052261 0.469938 -0.881151 -0.960355 -0.265589 -0.084734 -0.273844 0.841790 0.465188 0.997088
   532 -0.033700 0.127400 0.048500 -0.052252 0.469941 -0.881150 -0.960356 -0.265585 -0.084742 -0.273844 0.841790 0.465188 -0.005739
   533 -0.033700 0.127400 0.048500 -0.960356 -0.265585 -0.084742 0.052252 -0.469941 0.881150 -0.273844 0.841790 0.465188 0.001336
   541 -0.067200 0.108900 0.044300 -0.173938 0.380270 -0.908372 -0.708927 -0.688604 -0.152469 -0.683488 0.617450 0.389358 1.001569
   542 -0.067200 0.108900 0.044300 -0.173931 0.380277 -0.908371 -0.708929 -0.688600 -0.152479 -0.683488 0.617449 0.389358 -0.005820
   543 -0.067200 0.108900 0.044300 -0.708929 -0.688600 -0.152479 0.173931 -0.380277 0.908371 -0.683488 0.617449 0.389358 -0.001680
   611 -0.035800 0.104800 0.075000 -0.008632 0.768998 -0.639192 -0.955155 -0.195523 -0.222372 -0.295981 0.608608 0.736201 1.004014
   612 -0.035800 0.104800 0.075000 -0.955028 -0.195775 -0.222698 0.008554 -0.768868 0.639351 -0.296394 0.608693 0.735964 -0.002233
   613 -0.035800 0.104800 0.075000 -0.008554 0.768868 -0.639351 -0.955028 -0.195775 -0.222698 -0.296394 0.608693 0.735964 -0.002278
   621 0.000100 0.077500 0.096700 0.000099 0.915900 -0.401405 -0.999999 0.000642 0.001001 0.001174 0.401405 0.915900 1.001197
   622 0.000100 0.077500 0.096700 0.000196 0.915971 -0.401245 -0.999999 0.000849 0.001230 0.001467 0.401245 0.915970 0.000462
   623 0.000100 0.077500 0.096700 -0.999999 0.000849 0.001230 -0.000196 -0.915971 0.401245 0.001467 0.401245 0.915970 0.000965
   631 -0.018400 0.044000 0.106300 0.007405 0.982521 -0.186002 -0.991311 -0.017124 -0.130421 -0.131326 0.185352 0.973858 0.995173
   632 -0.018400 0.044000 0.106300 -0.991310 -0.016981 -0.130448 -0.007549 -0.982524 0.185983 -0.131326 0.185352 0.973857 -0.004962
   633 -0.018400 0.044000 0.106300 0.007549 0.982524 -0.185983 -0.991310 -0.016981 -0.130448 -0.131326 0.185352 0.973857 -0.001457
   641 -0.036800 0.075300 0.092200 -0.025132 0.896385 -0.442562 -0.950972 -0.157918 -0.265923 -0.308258 0.414181 0.856406 1.001538
   642 -0.036800 0.075300 0.092200 -0.025099 0.896473 -0.442387 -0.950857 -0.157993 -0.266288 -0.308614 0.413963 0.856383 0.000459
   643 -0.036800 0.075300 0.092200 -0.950857 -0.157993 -0.266288 0.025099 -0.896473 0.442387 -0.308614 0.413963 0.856383 0.001411
   711 -0.018500 0.010500 0.109600 -0.989454 -0.011974 -0.144356 0.013238 -0.999880 -0.008049 -0.144242 -0.009875 0.989493 0.989818
   712 -0.018500 0.010500 0.109600 0.013219 -0.999880 -0.008052 0.989454 0.011955 0.144355 -0.144242 -0.009875 0.989493 0.000745
   713 -0.018500 0.010500 0.109600 -0.989454 -0.011955 -0.144355 0.013219 -0.999880 -0.008052 -0.144242 -0.009875 0.989493 -0.001617
   721 0.018600 0.010500 0.109600 0.988143 -0.007269 -0.153367 0.001634 0.999323 -0.036757 0.153530 0.036071 0.987485 0.988012
   722 0.018600 0.010500 0.109600 0.001718 0.999322 -0.036770 -0.988142 0.007353 0.153364 0.153530 0.036071 0.987485 -0.002649
   723 0.018600 0.010500 0.109600 0.988142 -0.007353 -0.153364 0.001718 0.999322 -0.036770 0.153530 0.036071 0.987485 0.000292
   731 0.018600 -0.023300 0.105900 -0.036443 -0.970482 -0.238406 0.987178 0.002123 -0.159607 0.155402 -0.241166 0.957961 0.986393
   732 0.018600 -0.023300 0.105900 0.987164 0.002100 -0.159694 0.036600 0.970305 0.239101 0.155455 -0.241877 0.957773 -0.002623
   733 0.018600 -0.023300 0.105900 -0.036600 -0.970305 -0.239101 0.987164 0.002100 -0.159694 0.155455 -0.241877 0.957773 -0.000872
